state,date,dates,confirmed
AN,2020-08-01,"{'delta': {'confirmed': 88, 'deceased': 2, 'recovered': 12, 'tested': 270}, 'total': {'confirmed': 636, 'deceased': 7, 'other': 1, 'recovered': 226, 'tested': 24308}}",636.0
AN,2020-08-02,"{'delta': {'confirmed': 98, 'deceased': 1, 'recovered': 16, 'tested': 272}, 'total': {'confirmed': 734, 'deceased': 8, 'other': 1, 'recovered': 242, 'tested': 24580}}",734.0
AN,2020-08-03,"{'delta': {'confirmed': 96, 'deceased': 2, 'other': -1, 'recovered': 21, 'tested': 454}, 'total': {'confirmed': 830, 'deceased': 10, 'recovered': 263, 'tested': 25034}}",830.0
AN,2020-08-04,"{'delta': {'confirmed': 98, 'deceased': 2, 'recovered': 14, 'tested': 458}, 'total': {'confirmed': 928, 'deceased': 12, 'recovered': 277, 'tested': 25492}}",928.0
AN,2020-08-05,"{'delta': {'confirmed': 99, 'deceased': 2, 'recovered': 49, 'tested': 334}, 'total': {'confirmed': 1027, 'deceased': 14, 'recovered': 326, 'tested': 25826}}",1027.0
AN,2020-08-06,"{'delta': {'confirmed': 96, 'deceased': 2, 'recovered': 29, 'tested': 690}, 'total': {'confirmed': 1123, 'deceased': 16, 'recovered': 355, 'tested': 26516}}",1123.0
AN,2020-08-07,"{'delta': {'confirmed': 99, 'deceased': 3, 'recovered': 70, 'tested': 399}, 'total': {'confirmed': 1222, 'deceased': 19, 'recovered': 425, 'tested': 26915}}",1222.0
AN,2020-08-08,"{'delta': {'confirmed': 129, 'deceased': 1, 'recovered': 75, 'tested': 158}, 'total': {'confirmed': 1351, 'deceased': 20, 'recovered': 500, 'tested': 27073}}",1351.0
AN,2020-08-09,"{'delta': {'confirmed': 139, 'recovered': 148, 'tested': 30}, 'total': {'confirmed': 1490, 'deceased': 20, 'recovered': 648, 'tested': 27103}}",1490.0
AN,2020-08-10,"{'delta': {'confirmed': 135, 'recovered': 61, 'tested': 243}, 'total': {'confirmed': 1625, 'deceased': 20, 'recovered': 709, 'tested': 27346}}",1625.0
AN,2020-08-11,"{'delta': {'confirmed': 139, 'deceased': 1, 'recovered': 40, 'tested': 109}, 'total': {'confirmed': 1764, 'deceased': 21, 'recovered': 749, 'tested': 27455}}",1764.0
AN,2020-08-12,"{'delta': {'confirmed': 136, 'recovered': 80, 'tested': 289}, 'total': {'confirmed': 1900, 'deceased': 21, 'recovered': 829, 'tested': 27744}}",1900.0
AN,2020-08-13,"{'delta': {'confirmed': 137, 'deceased': 1, 'recovered': 95, 'tested': 229}, 'total': {'confirmed': 2037, 'deceased': 22, 'recovered': 924, 'tested': 27973}}",2037.0
AN,2020-08-14,"{'delta': {'confirmed': 149, 'deceased': 2, 'recovered': 108, 'tested': 156}, 'total': {'confirmed': 2186, 'deceased': 24, 'recovered': 1032, 'tested': 28129}}",2186.0
AN,2020-08-15,"{'delta': {'confirmed': 120, 'recovered': 96, 'tested': 80}, 'total': {'confirmed': 2306, 'deceased': 24, 'recovered': 1128, 'tested': 28209}}",2306.0
AN,2020-08-16,"{'delta': {'confirmed': 93, 'deceased': 4, 'recovered': 98, 'tested': 20}, 'total': {'confirmed': 2399, 'deceased': 28, 'recovered': 1226, 'tested': 28229}}",2399.0
AN,2020-08-17,"{'delta': {'confirmed': 46, 'deceased': 1, 'recovered': 99, 'tested': 443}, 'total': {'confirmed': 2445, 'deceased': 29, 'recovered': 1325, 'tested': 28672}}",2445.0
AN,2020-08-18,"{'delta': {'confirmed': 84, 'deceased': 1, 'recovered': 96, 'tested': 265}, 'total': {'confirmed': 2529, 'deceased': 30, 'recovered': 1421, 'tested': 28937}}",2529.0
AN,2020-08-19,"{'delta': {'confirmed': 75, 'recovered': 108, 'tested': 366}, 'total': {'confirmed': 2604, 'deceased': 30, 'recovered': 1529, 'tested': 29303}}",2604.0
AN,2020-08-20,"{'delta': {'confirmed': 76, 'deceased': 1, 'recovered': 109, 'tested': 184}, 'total': {'confirmed': 2680, 'deceased': 31, 'recovered': 1638, 'tested': 29487}}",2680.0
AN,2020-08-21,"{'delta': {'confirmed': 67, 'deceased': 1, 'recovered': 106, 'tested': 86}, 'total': {'confirmed': 2747, 'deceased': 32, 'recovered': 1744, 'tested': 29573}}",2747.0
AN,2020-08-22,"{'delta': {'confirmed': 61, 'recovered': 109, 'tested': 315}, 'total': {'confirmed': 2808, 'deceased': 32, 'recovered': 1853, 'tested': 29888}}",2808.0
AN,2020-08-23,"{'delta': {'confirmed': 52, 'deceased': 1, 'recovered': 110, 'tested': 390}, 'total': {'confirmed': 2860, 'deceased': 33, 'recovered': 1963, 'tested': 30278}}",2860.0
AN,2020-08-24,"{'delta': {'confirmed': 44, 'deceased': 2, 'recovered': 129, 'tested': 235}, 'total': {'confirmed': 2904, 'deceased': 35, 'recovered': 2092, 'tested': 30513}}",2904.0
AN,2020-08-25,"{'delta': {'confirmed': 41, 'deceased': 2, 'recovered': 139, 'tested': 569}, 'total': {'confirmed': 2945, 'deceased': 37, 'recovered': 2231, 'tested': 31082}}",2945.0
